time;nb_octet;file;size;rtt
333.0;604680;data_0.tr;0;1
334.0;605000;data_0.tr;0;1
335.0;604280;data_0.tr;0;1
336.0;604600;data_0.tr;0;1
337.0;403800;data_0.tr;0;1
338.0;806160;data_0.tr;0;1
339.0;604520;data_0.tr;0;1
340.0;444040;data_0.tr;0;1
341.0;584720;data_0.tr;0;1
342.0;957000;data_0.tr;0;1
343.0;635320;data_0.tr;0;1
344.0;604640;data_0.tr;0;1
345.0;604680;data_0.tr;0;1
346.0;444040;data_0.tr;0;1
347.0;624880;data_0.tr;0;1
348.0;544240;data_0.tr;0;1
349.0;604480;data_0.tr;0;1
350.0;403600;data_0.tr;0;1
351.0;615080;data_0.tr;0;1
352.0;594520;data_0.tr;0;1
353.0;604360;data_0.tr;0;1
354.0;494240;data_0.tr;0;1
355.0;514080;data_0.tr;0;1
356.0;605040;data_0.tr;0;1
357.0;604440;data_0.tr;0;1
358.0;463920;data_0.tr;0;1
359.0;544320;data_0.tr;0;1
360.0;806000;data_0.tr;0;1
361.0;514280;data_0.tr;0;1
362.0;494320;data_0.tr;0;1
363.0;604600;data_0.tr;0;1
364.0;604880;data_0.tr;0;1
365.0;604240;data_0.tr;0;1
366.0;424000;data_0.tr;0;1
367.0;584640;data_0.tr;0;1
368.0;604440;data_0.tr;0;1
369.0;604920;data_0.tr;0;1
370.0;453720;data_0.tr;0;1
371.0;755480;data_0.tr;0;1
372.0;604800;data_0.tr;0;1
373.0;514360;data_0.tr;0;1
374.0;494160;data_0.tr;0;1
375.0;604920;data_0.tr;0;1
376.0;604320;data_0.tr;0;1
377.0;584480;data_0.tr;0;1
378.0;423760;data_0.tr;0;1
379.0;604880;data_0.tr;0;1
380.0;604920;data_0.tr;0;1
381.0;604240;data_0.tr;0;1
382.0;464120;data_0.tr;0;1
383.0;544080;data_0.tr;0;1
384.0;604960;data_0.tr;0;1
385.0;604680;data_0.tr;0;1
386.0;494000;data_0.tr;0;1
387.0;564640;data_0.tr;0;1
388.0;554080;data_0.tr;0;1
389.0;604680;data_0.tr;0;1
390.0;604640;data_0.tr;0;1
391.0;404000;data_0.tr;0;1
392.0;604520;data_0.tr;0;1
393.0;483800;data_0.tr;0;1
394.0;725880;data_0.tr;0;1
395.0;806440;data_0.tr;0;1
396.0;665200;data_0.tr;0;1
397.0;544240;data_0.tr;0;1
398.0;604800;data_0.tr;0;1
399.0;433640;data_0.tr;0;1
400.0;634920;data_0.tr;0;1
401.0;544520;data_0.tr;0;1
402.0;604360;data_0.tr;0;1
